old_name,asw_accepted_name,asw_status,asw_url,asw_notes
Xenobatrachus mehelyi,Xenorhina zweifeli,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-zweifeli,Input name 'Xenobatrachus mehelyi' found in synonymy; current accepted name is 'Xenorhina zweifeli'
Xenobatrachus obesus,Xenorhina obesa,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-obesa,Input name 'Xenobatrachus obesus' found in synonymy; current accepted name is 'Xenorhina obesa'
Xenobatrachus rostratus,Xenorhina zweifeli,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-zweifeli,Input name 'Xenobatrachus rostratus' found in synonymy; current accepted name is 'Xenorhina zweifeli'
Xenobatrachus subcroceus,Xenorhina subcrocea,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-subcrocea,Input name 'Xenobatrachus subcroceus' found in synonymy; current accepted name is 'Xenorhina subcrocea'
Xenorhina bouwensi,Xenorhina bouwensi,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-bouwensi,Name matches current accepted name in ASW
Xenorhina doriae,Callulops doriae,synonym,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Callulops/Callulops-doriae,Input name 'Xenorhina doriae' found in synonymy; current accepted name is 'Callulops doriae'
Xenorhina minima,Xenorhina minima,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-minima,Name matches current accepted name in ASW
Xenorhina oxycephala,Xenorhina oxycephala,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-oxycephala,Name matches current accepted name in ASW
Xenorhina parkerorum,Xenorhina parkerorum,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-parkerorum,Name matches current accepted name in ASW
Xenorhina similis,Xenorhina similis,accepted,https://amphibiansoftheworld.amnh.org/Amphibia/Anura/Microhylidae/Asterophryinae/Xenorhina/Xenorhina-similis,Name matches current accepted name in ASW
