Genus species,Data_Name_As,Habitat,locality,lineage,musrego,Sex,SVL,HLL,HW,FLL,IN,EN,EY,THIRD,FTD,Source,HLLsvl,FLLsvl,HWsvl,THIRDsvl,INsvl,ENsvl,EYsvl,FOURTHsvl,PC1,PC2,PC3,PC4
Cophixalus crepitans,Cophixalus crepitans,1,McIlwraith Ra,1,,,12.78,6.21,4.22,2.55,,,,0.69,,Hoskin 2018,0.485915493,0.199530516,0.330203443,0.05399061,,,,,-1.0527,1.23458,-0.94701,-1.19402
Cophixalus crepitans,Cophixalus crepitans,,,,QM J28817,F,14.1,7.35,5.2,,1.45,1.05,1.95,0.6,,Zweifel 1985,,,,,,,,,,,,
Cophixalus exiguus,Cophixalus exiguus,1,Big Tableland,1,,,17.76,6.96,6.11,3.45,,,,0.46,,Hoskin 2018,0.391891892,0.194256757,0.344031532,0.025900901,,,,,-0.82332,-1.19165,-0.20855,-1.16379
Cophixalus exiguus,Cophixalus exiguus,1,Big Tableland,1,,,13.26,6.07,4.54,3.05,,,,0.55,,Hoskin 2018,0.457767722,0.230015083,0.342383107,0.04147813,,,,,-1.03185,0.31635,-1.04331,-0.19317
Cophixalus exiguus,Cophixalus exiguus,1,Big Tableland,1,conx5297,M,14.9,6.2,5.1,3.5,,,,0.4,,Hoskin 2018,0.416107383,0.234899329,0.342281879,0.026845638,,,,,-0.97188,-0.83277,-0.9539,0.20894
Cophixalus exiguus,Cophixalus exiguus,1,Mt Hartley,1,,,15.28,6.61,5.44,3.54,,,,0.63,,Hoskin 2018,0.432591623,0.231675393,0.356020942,0.041230366,,,,,-0.86961,0.00233,-0.67985,0.03028
Cophixalus exiguus,Cophixalus exiguus,1,Mt Hartley,1,,,17.31,7.48,6.36,3.54,,,,0.64,,Hoskin 2018,0.432120162,0.204506066,0.367417678,0.036972848,,,,,-0.747,-0.48092,-0.26631,-1.20037
Cophixalus exiguus,Cophixalus exiguus,1,Mt Hartley,1,,,13.57,6.65,4.84,3.04,,,,0.72,,Hoskin 2018,0.490051584,0.224023581,0.356669123,0.053058217,,,,,-0.94558,0.91964,-0.94545,-0.66324
Cophixalus gigiraensis,Cophixalus gigiraensis,,,,SAMA R71740,,44.5,18.5,15.4,,4,3.3,4.9,3.3,2.5,Gunther et al. 2023,,,,,,,,,,,,
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,,,17.03,7.25,6.72,3.81,,,,0.78,,Hoskin 2018,0.425719319,0.223722842,0.394597769,0.045801527,,,,,-0.68724,-0.03365,0.07465,-0.26813
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,,,18.34,7.77,6.73,4.14,,,,0.94,,Hoskin 2018,0.423664122,0.225736096,0.36695747,0.051254089,,,,,-0.57662,0.41232,-0.0892,-0.07532
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,,,20.27,8.65,7.7,4.99,,,,1.08,,Hoskin 2018,0.426739023,0.246176616,0.379871732,0.05328071,,,,,-0.35834,0.225,-0.05861,0.72999
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,,,19.14,7.6,7.66,4.35,,,,1.29,,Hoskin 2018,0.39707419,0.227272727,0.400208986,0.067398119,,,,,-0.41458,1.5031,1.03992,0.57508
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,,,20.61,8.48,8.44,4.58,,,,1.3,,Hoskin 2018,0.411450752,0.222222222,0.409509947,0.063076177,,,,,-0.29317,1.04929,1.12428,-0.02218
Cophixalus hinchinbrookensis,Cophixalus hinchinbrookensis,1,Hinchinbrook Is,1,conx5292,M,18.1,7.8,6.4,4.5,,,,0.9,,Hoskin 2018,0.430939227,0.248618785,0.35359116,0.049723757,,,,,-0.58147,0.2538,-0.64958,0.76571
Cophixalus hosmeri,Cophixalus hosmeri,1,Mt Lewis,1,,,13.77,5.66,5.03,3.13,,,,0.44,,Hoskin 2018,0.411038489,0.227305737,0.365286855,0.031953522,,,,,-1.03447,-0.3887,-0.54845,0.0873
Cophixalus hosmeri,Cophixalus hosmeri,1,Mt Lewis,1,,,12.32,4.6,4.33,2.68,,,,0.5,,Hoskin 2018,0.373376623,0.217532468,0.351461039,0.040584416,,,,,-1.1561,0.41808,-0.24527,0.38679
Cophixalus hosmeri,Cophixalus hosmeri,1,Mt Lewis,1,,,14.73,5.88,5.45,3.2,,,,0.5,,Hoskin 2018,0.399185336,0.21724372,0.369993211,0.033944331,,,,,-0.96528,-0.38696,-0.23045,-0.12369
Cophixalus hosmeri,Cophixalus hosmeri,1,Mt Lewis,1,,,16.21,5.07,5.61,2.77,,,,0.52,,Hoskin 2018,0.312769895,0.170882171,0.346082665,0.032078964,,,,,-0.98452,-0.34354,0.87564,-0.68131
Cophixalus hosmeri,Cophixalus hosmeri,1,Mt Lewis,1,,,13.08,5.3,4.85,2.61,,,,0.54,,Hoskin 2018,0.405198777,0.199541284,0.370795107,0.041284404,,,,,-1.08278,0.35093,-0.10837,-0.54401
Cophixalus hosmeri,Cophixalus hosmeri,,,,QM J42058,M,13.2,5.7,5.2,,1.35,1.05,1.85,0.5,,Zweifel 1985,,,,,,,,,,,,
Cophixalus humicola,Cophixalus humicola,,,,ZMB 69705,M,15.7,7.6,5.5,,1.8,1.5,1.9,0.3,,Gunther 2006,,,,,,,,,,,,
Cophixalus infacetus,Cophixalus infacetus,1,Yarabah,1,,,15.96,7.61,5.6,3.73,,,,0.64,,Hoskin 2018,0.476817043,0.233709273,0.350877193,0.040100251,,,,,-0.79402,-0.16229,-1.19222,-0.53391
Cophixalus infacetus,Cophixalus infacetus,1,Mt Bartle Frere,1,,,15.67,7.34,5.14,3,,,,0.69,,Hoskin 2018,0.468410976,0.191448628,0.328015316,0.044033184,,,,,-0.8735,0.47132,-0.87297,-1.79798
Cophixalus infacetus,Cophixalus infacetus,1,Mt Bartle Frere,1,,,14.91,6.53,5.49,3.1,,,,0.72,,Hoskin 2018,0.4379611,0.207914152,0.368209256,0.048289738,,,,,-0.88601,0.55857,-0.26503,-0.7571
Cophixalus infacetus,Cophixalus infacetus,1,Palmerston,1,,,15.6,7.86,5.53,3.92,,,,0.76,,Hoskin 2018,0.503846154,0.251282051,0.354487179,0.048717949,,,,,-0.75078,0.35567,-1.43162,-0.14024
Cophixalus infacetus,Cophixalus infacetus,1,Mt Bellenden Ker,1,,,12.83,6.82,4.41,3.16,,,,0.62,,Hoskin 2018,0.531566641,0.24629774,0.343725643,0.04832424,,,,,-0.99279,0.65291,-1.64377,-0.42996
Cophixalus infacetus,Cophixalus infacetus,1,Henrietta Ck,1,conx5295,M,15.7,7,4.8,3.5,,,,0.65,,Hoskin 2018,0.445859873,0.222929936,0.305732484,0.041401274,,,,,-0.87743,0.25492,-1.26779,-0.3728
Cophixalus infacetus,Cophixalus infacetus,,,,QM J42059,M,15.2,6.7,5.6,,1.6,1.25,2,0.75,,Zweifel 1985,,,,,,,,,,,,
Cophixalus kaindiensis,Cophixalus kaindiensis,,,,AMNH 82904,M,27.3,11.7,10,,,,,1.8,,,,,,,,,,,,,,
Cophixalus kaindiensis,Cophixalus kaindiensis,,,,AMNH 82904,M,27.3,11.7,10,,2.8,2.1,3.2,1.8,,Zweifel 1979,,,,,,,,,,,,
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,j88541,F,39.8,20.73,16.19,10.31,,,,2.66,,Hoskin 2018,0.520854271,0.259045226,0.40678392,0.066834171,,,,,1.70689,0.41403,-0.34803,-0.94665
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,j88542,F,42.01,21.47,16.64,11.49,,,,2.61,,Hoskin 2018,0.511068793,0.273506308,0.396096168,0.062128065,,,,,1.8737,-0.56625,-0.98591,0.57735
Cophixalus kulakula,Cophixalus kulakula,2,Nth Boulders,1,j88540,F,42.98,21.53,15.78,10.5,,,,2.92,,Hoskin 2018,0.500930665,0.244299674,0.36714751,0.067938576,,,,,1.85857,1.27917,-0.52555,-1.51832
Cophixalus kulakula,Cophixalus kulakula,2,Nth Boulders,1,j88539,F,45.24,20.29,16.36,11.68,,,,2.78,,Hoskin 2018,0.448496905,0.258178603,0.361626879,0.061450044,,,,,1.93527,-0.08673,0.04152,1.59692
Cophixalus kulakula,Cophixalus kulakula,2,Mt Tozer,1,j88503 (ev274),F,48.01,22.84,17.66,11.78,,,,3.13,,Hoskin 2018,0.475734222,0.245365549,0.367840033,0.065194751,,,,,2.24971,0.64293,0.11729,-0.74151
Cophixalus kulakula,Cophixalus kulakula,2,Tor Hill,2,j88374,F,47.35,22.75,17.97,11.54,,,,3.48,,Hoskin 2018,0.480464625,0.243717001,0.379514256,0.073495248,,,,,2.32172,2.22104,0.84451,-0.8263
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,,F,44.3,21.7,16.4,,,,,3.4,,Hoskin 2018,0.489841986,,0.37020316,0.076749436,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus kulakula,Cophixalus kulakula,2,Nth Boulders,1,j88537,M,40.49,19.55,15.22,9.79,,,,2.63,,Hoskin 2018,0.482835268,0.241788096,0.375895283,0.06495431,,,,,1.58062,0.72132,0.07303,-1.1423
Cophixalus kulakula,Cophixalus kulakula,2,Mt Tozer,1,j88504 (ev275),M,40.63,19.68,15.04,9.86,,,,2.45,,Hoskin 2018,0.484371154,0.242677824,0.370169825,0.060300271,,,,,1.53793,-0.04892,-0.35967,-1.25142
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,j88544,M,42.47,19.45,14.48,9.95,,,,2.28,,Hoskin 2018,0.457970332,0.234283023,0.340946551,0.053684954,,,,,1.49936,-0.82211,-0.61326,-1.26596
Cophixalus kulakula,Cophixalus kulakula,2,Nth Boulders,1,j88536,M,44.3,20.35,15.94,10.35,,,,2.8,,Hoskin 2018,0.459367946,0.233634312,0.359819413,0.063205418,,,,,1.80657,0.64808,0.44965,-1.21584
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,j88543,M,44.79,20.96,15.72,10.15,,,,2.52,,Hoskin 2018,0.467961599,0.226613083,0.350971199,0.056262559,,,,,1.74167,-0.5114,-0.19446,-2.49101
Cophixalus kulakula,Cophixalus kulakula,2,Tor Hill,2,j88375,M,29.17,13.87,10.63,6.68,,,,1.73,,Hoskin 2018,0.475488516,0.2290024,0.364415495,0.059307508,,,,,0.45267,0.54565,-0.29394,-1.3899
Cophixalus kulakula,Cophixalus kulakula,2,Tor Hill,2,j88373,M,34.95,16.92,13.15,8.42,,,,2.14,,Hoskin 2018,0.484120172,0.240915594,0.376251788,0.061230329,,,,,1.04164,0.30961,-0.22436,-1.11265
Cophixalus kulakula,Cophixalus kulakula,2,Rock Valley,1,,M,42.4,20.9,15.6,,,,,3,,Hoskin 2018,0.492924528,,0.367924528,0.070754717,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,,,23.82,9.41,8.24,5.84,,,,0.76,,Hoskin 2018,0.39504618,0.245172124,0.345927792,0.031905961,,,,,-0.25289,-1.99984,-0.55049,1.00055
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,,,22.41,8.91,7.94,5.23,,,,0.91,,Hoskin 2018,0.397590361,0.233377956,0.354306113,0.040606872,,,,,-0.32046,-0.89716,-0.0959,0.47721
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,,,23.72,9,9,4.99,,,,0.92,,Hoskin 2018,0.379426644,0.210370995,0.379426644,0.038785835,,,,,-0.2515,-1.25497,0.94722,-0.51297
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,,,27.76,10.39,9.26,5.83,,,,0.98,,Hoskin 2018,0.374279539,0.210014409,0.333573487,0.035302594,,,,,-0.03047,-1.78978,0.36756,-0.53564
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,,,25.9,10.2,9.34,6.42,,,,1.05,,Hoskin 2018,0.393822394,0.247876448,0.360617761,0.040540541,,,,,-0.00943,-1.49995,-0.01306,1.35561
Cophixalus mcdonaldi,Cophixalus mcdonaldi,1,Mt Elliot,1,conx5289,M,17.9,7.5,6.3,4.4,,,,0.5,,Hoskin 2018,0.418994413,0.245810056,0.351955307,0.027932961,,,,,-0.71157,-1.40563,-0.94554,0.50573
Cophixalus mcdonaldi,Cophixalus mcdonaldi,,,,QM J42064,F,25,9.6,9.6,,2.25,1.75,2.85,1,,Zweifel 1985,,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,UP2676,M,16.1,9,5.2,,1.9,1.5,2.2,0.5,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,R56871,M,15.5,8.6,5.1,,1.7,1.3,2.2,0.4,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,R60287,M,15.9,8.7,5.1,,1.7,1.2,2.1,0.5,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,R60286,M,16.1,8.9,5.8,,1.6,1.3,2.2,0.5,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,R60288,F,19.3,10,6.4,,2,1.4,2.7,0.5,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus misimae,Cophixalus misimae,,,,UP2842,F,19.6,10.4,6,,2,1.6,2.6,0.5,,"Richards & Oliver 2007 A new species of Cophixalus from Misima Island, Papua New Guinea",,,,,,,,,,,,
Cophixalus monticola,Cophixalus monticola,1,Mt Lewis,1,,,17.86,5.51,6.68,3.71,,,,0.69,,Hoskin 2018,0.308510638,0.207726764,0.374020157,0.038633819,,,,,-0.769,-0.41915,1.18286,0.76861
Cophixalus monticola,Cophixalus monticola,1,Mt Lewis,1,,,20.26,6.98,7.58,3.98,,,,0.84,,Hoskin 2018,0.344521224,0.196446199,0.374136229,0.041461007,,,,,-0.56216,-0.42215,1.25027,-0.31188
Cophixalus monticola,Cophixalus monticola,1,Mt Lewis,1,,,20.72,6.45,7.03,4.14,,,,0.88,,Hoskin 2018,0.311293436,0.19980695,0.339285714,0.042471042,,,,,-0.57972,-0.15211,1.18639,0.52228
Cophixalus monticola,Cophixalus monticola,1,Mt Lewis,1,,,18.11,6.08,6.79,4.24,,,,0.94,,Hoskin 2018,0.335726118,0.234124793,0.374930977,0.051905025,,,,,-0.6346,0.43231,0.88713,1.63151
Cophixalus monticola,Cophixalus monticola,1,Mt Lewis,1,,,19.11,7.31,7.17,4.5,,,,0.95,,Hoskin 2018,0.38252224,0.235478807,0.375196232,0.049712193,,,,,-0.52766,0.13586,0.39031,0.9412
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,,,20.83,7.7,7.54,4.76,,,,0.79,,Hoskin 2018,0.369659145,0.228516563,0.361977916,0.037926068,,,,,-0.48239,-0.95158,0.30739,0.6923
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,,,27.44,10.14,9.67,5.86,,,,0.82,,Hoskin 2018,0.369533528,0.213556851,0.352405248,0.029883382,,,,,-0.06386,-2.5924,0.57117,-0.38322
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,,,21.92,7.49,8.21,4.34,,,,0.86,,Hoskin 2018,0.34169708,0.197992701,0.374543796,0.039233577,,,,,-0.44679,-0.83369,1.40709,-0.30629
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,,,23.8,8.26,9.08,4.05,,,,1.12,,Hoskin 2018,0.347058824,0.170168067,0.381512605,0.047058824,,,,,-0.29035,-0.09675,2.28824,-1.85995
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,,,27.61,9.33,10.37,5.65,,,,1.15,,Hoskin 2018,0.337921043,0.204636001,0.375588555,0.041651576,,,,,0.01439,-1.30112,2.08634,-0.00541
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bartle Frere,1,conx5293,M,20.7,7.2,7.7,4.5,,,,0.65,,Hoskin 2018,0.347826087,0.217391304,0.371980676,0.031400966,,,,,-0.55019,-1.50727,0.71867,0.4167
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,,,24.48,7.88,8.77,4.37,,,,0.78,,Hoskin 2018,0.321895425,0.178513072,0.358251634,0.031862745,,,,,-0.37137,-1.64507,1.80989,-1.18745
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,,,24.57,8.01,8.76,4.38,,,,0.84,,Hoskin 2018,0.326007326,0.178266178,0.356532357,0.034188034,,,,,-0.34912,-1.39502,1.79612,-1.24041
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,,,26.68,8.72,9.18,5.06,,,,0.93,,Hoskin 2018,0.326836582,0.189655172,0.344077961,0.034857571,,,,,-0.18718,-1.58433,1.61637,-0.67956
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,,,27.1,8.85,10.26,5.18,,,,1.01,,Hoskin 2018,0.326568266,0.191143911,0.378597786,0.037269373,,,,,-0.08919,-1.66578,2.37553,-0.66772
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,,,25.74,8.3,9.5,5.48,,,,1.04,,Hoskin 2018,0.322455322,0.212898213,0.369075369,0.04040404,,,,,-0.14645,-1.23027,1.82527,0.85652
Cophixalus neglectus,Cophixalus neglectus,1,Mt Bellenden Ker,2,conx5284,,18.8,6.9,6.8,3.6,,,,0.55,,Hoskin 2018,0.367021277,0.191489362,0.361702128,0.029255319,,,,,-0.73574,-1.17089,0.46525,-0.9783
Cophixalus nubicola,Cophixalus nubicola,,,,AMNH 66581,F,29.2,10.1,11.6,,,,,1.8,,,,,,,,,,,,,,
Cophixalus ornatus,Cophixalus ornatus,1,Kuranda,1,,,20.55,8.68,7.49,4.52,,,,1.25,,Hoskin 2018,0.422384428,0.219951338,0.364476886,0.060827251,,,,,-0.35293,1.15556,0.30087,-0.23866
Cophixalus ornatus,Cophixalus ornatus,1,Mt Haig,1,,,23.21,9.07,7.67,5.11,,,,1.49,,Hoskin 2018,0.390779836,0.220163723,0.330461008,0.064196467,,,,,-0.17274,1.68177,0.4442,0.44872
Cophixalus ornatus,Cophixalus ornatus,1,Mt Spurgeon,1,,,21.84,9.51,7,4.95,,,,1.51,,Hoskin 2018,0.43543956,0.226648352,0.320512821,0.069139194,,,,,-0.22395,2.16239,-0.36328,0.06792
Cophixalus ornatus,Cophixalus ornatus,1,Lambs Head,1,,,27.18,10.55,8.34,6.56,,,,1.67,,Hoskin 2018,0.388153054,0.241353937,0.306843267,0.061442237,,,,,0.14624,1.35335,-0.1645,1.79078
Cophixalus ornatus,Cophixalus ornatus,1,Mt Lewis,1,,,26.87,10.57,8.79,5.76,,,,1.84,,Hoskin 2018,0.393375512,0.214365463,0.327130629,0.068477856,,,,,0.14993,2.23541,0.80121,0.10969
Cophixalus ornatus,Cophixalus ornatus,1,Kuranda,1,conx5280,M,20.3,8,6.8,4.9,,,,1.2,,Hoskin 2018,0.39408867,0.24137931,0.334975369,0.0591133,,,,,-0.40446,1.08378,-0.10877,1.29441
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,j88548,F,50.54,24.83,18.13,12.88,,,,3.52,,Hoskin 2018,0.491294025,0.254847645,0.358725762,0.069647804,,,,,2.57795,1.54078,-0.68416,-0.15516
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,j88547,F,51.66,23.72,18.59,11.81,,,,3.68,,Hoskin 2018,0.45915602,0.228610143,0.359852884,0.071234998,,,,,2.54547,2.34693,1.33331,-1.75543
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,,F,49,22.9,17.8,,,,,3.6,,Hoskin 2018,0.467346939,,0.363265306,0.073469388,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,j88545,M,42.21,19.43,16.26,10.2,,,,2.63,,Hoskin 2018,0.46031746,0.241648898,0.385216773,0.06230751,,,,,1.69302,0.08602,0.85933,-0.56542
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,j88546,M,42.87,21.19,15.69,11.5,,,,2.91,,Hoskin 2018,0.494285048,0.268252857,0.365990203,0.067879636,,,,,1.90857,0.97073,-1.04768,1.05678
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,,M,46.7,21.7,16.3,,,,,3,,Hoskin 2018,0.464668094,,0.349036403,0.064239829,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus pakayakulangun,Cophixalus pakayakulangun,2,Stanley Hills,1,,M,44.4,22.2,16.2,,,,,3,,Hoskin 2018,0.5,,0.364864865,0.067567568,,,,,#NULL!,#NULL!,#NULL!,#NULL!
Cophixalus parkeri,Cophixalus parkeri,,,,,,31,11.9,,,,,,,,,,,,,,,,,,,,
Cophixalus peninsularis,Cophixalus peninsularis,1,McIlwraith Ra,1,,,16.97,7.41,5.45,3.08,,,,0.74,,Hoskin 2018,0.436652917,0.181496759,0.321154979,0.043606364,,,,,-0.81082,0.43117,-0.51301,-1.91562
Cophixalus peninsularis,Cophixalus peninsularis,1,McIlwraith Ra,1,,,17.03,6.93,5.56,3.1,,,,0.78,,Hoskin 2018,0.406928949,0.182031709,0.326482678,0.045801527,,,,,-0.8104,0.57199,-0.10265,-1.45097
Cophixalus peninsularis,Cophixalus peninsularis,,,,QM J42061,M,18.1,7.6,7.2,,1.8,1.2,2.5,0.796,,Zweifel 1985,,,,,,,,,,,,
Cophixalus petrophilus,Cophixalus petrophilus,2,Cape Melville,1,conx5319,M,28.3,14.1,10,7.4,,,,1.5,,Hoskin 2018,0.498233216,0.261484099,0.35335689,0.053003534,,,,,0.40487,-0.40308,-1.7166,0.08764
Cophixalus petrophilus,Cophixalus petrophilus,2,Cape Melville,1,conx5351,M,26.35,13.27,9.84,6.81,,,,1.43,,Hoskin 2018,0.503605313,0.258444023,0.373434535,0.05426945,,,,,0.26656,-0.2511,-1.29216,-0.21308
Cophixalus petrophilus,Cophixalus petrophilus,2,Cape Melville,1,conx5336,M,28.29,14.06,10.77,7.07,,,,1.48,,Hoskin 2018,0.496995405,0.24991163,0.380699894,0.052315306,,,,,0.41393,-0.63273,-0.95681,-0.73799
Cophixalus petrophilus,Cophixalus petrophilus,2,Cape Melville,1,conx5350,F,31.2,15.2,11.82,8.7,,,,1.55,,Hoskin 2018,0.487179487,0.278846154,0.378846154,0.049679487,,,,,0.70372,-1.50451,-1.46984,1.35645
Cophixalus petrophilus,Cophixalus petrophilus,2,Cape Melville,1,conx5335,F,31.79,15.44,11.69,7.63,,,,1.9,,Hoskin 2018,0.485687323,0.240012583,0.3677257,0.059767222,,,,,0.73006,0.33979,-0.55576,-1.06293
Cophixalus pulchellus,Cophixalus pulchellus,,,,BPBM 13744,F,18.9,9.2,5.7,,,,,0.88,,,,,,,,,,,,,,
Cophixalus pulchellus,Cophixalus pulchellus,,,,BPBM 13744,F,18.9,9.2,5.7,,2.3,1.5,2.5,0.88,,Kraus & Allison 2000,,,,,,,,,,,,
Cophixalus riparius,Cophixalus riparius,,,,AMNH 65975,F,45.1,18.2,15.4,,,,,3.7,,,,,,,,,,,,,,
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,40.15,18.67,15.18,9.58,,,,2.28,,Hoskin 2018,0.465006227,0.23860523,0.378082192,0.056787049,,,,,1.43385,-0.67339,0.27957,-1.09392
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,43.54,20.15,15.7,10.61,,,,2.5,,Hoskin 2018,0.462792834,0.243683969,0.360587965,0.057418466,,,,,1.71366,-0.58733,-0.20235,-0.5404
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,45.88,20.56,17.89,11.21,,,,2.78,,Hoskin 2018,0.448125545,0.244333043,0.389930253,0.060592851,,,,,2.00297,-0.50427,1.354,-0.01148
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,M,33.58,15.94,12.92,9.11,,,,1.68,,Hoskin 2018,0.474687314,0.271292436,0.384752829,0.05002978,,,,,0.8979,-1.68101,-0.92999,1.17802
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,M,30.5,14.63,11.05,7.4,,,,1.74,,Hoskin 2018,0.479672131,0.242622951,0.362295082,0.05704918,,,,,0.58361,0.07133,-0.725,-0.7046
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,45.1,20.83,17.68,12.23,,,,2.85,,Hoskin 2018,0.461862528,0.271175166,0.392017738,0.063192905,,,,,2.07862,-0.37895,0.3596,2.29494
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,M,31.89,16.25,12.55,9.09,,,,1.74,,Hoskin 2018,0.509564127,0.285042333,0.393540295,0.054562559,,,,,0.87134,-1.12963,-1.5335,1.28
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,39.5,19.23,15,10.24,,,,2.7,,Hoskin 2018,0.486835443,0.259240506,0.379746835,0.06835443,,,,,1.58822,1.06692,-0.23377,0.42047
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,,F,42.6,19,15.35,10.51,,,,2.45,,Hoskin 2018,0.44600939,0.246713615,0.360328638,0.057511737,,,,,1.61376,-0.53435,0.12869,0.39417
Cophixalus saxatilis,Cophixalus saxatilis,2,Black Mtn,1,conx5298,M,33.9,16.2,12,9.7,,,,1.75,,Hoskin 2018,0.477876106,0.286135693,0.353982301,0.051622419,,,,,0.92707,-1.30351,-1.9988,2.40746
Cophixalus shellyi,Cophixalus shellyi,1,,,AMNH 58551,,16.5,7.2,5.8,,,,,,,,,,,,,,,,,,,
Cophixalus shellyi,Cophixalus shellyi,,,,AMNH 58551,F,16.5,7.2,5.8,,,,,0.7,,,,,,,,,,,,,,
Cophixalus sisyphus,Cophixalus sisyphus,,,,pooled n=24,M,13.3,6.38,5.19,,1.46,1.16,1.73,0.72,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus sisyphus,Cophixalus sisyphus,,,,pooled n=3,F,13.3,6.38,5.19,,1.46,1.16,1.73,0.72,,Kraus & Allison 2006,,,,,,,,,,,,
Cophixalus sphagnicola,Cophixalus sphagnicola,,,,AMNH 83077,F,16.3,6.2,6.5,,,,,0.69,,,,,,,,,,,,,,
Cophixalus sphagnicola,Cophixalus sphagnicola,,,,AMNH 83077,F,16.3,6.2,6.5,,1.7,1.1,2.3,0.35,,Zweifel & Allison 1982,,,,,,,,,,,,
Cophixalus tetzlaffi,Cophixalus tetzlaffi,,,,ZMB 62409,M,21.5,11.5,8,,2.6,2,3,1.2,,Gunther 2003,,,,,,,,,,,,
Cophixalus tetzlaffi,Cophixalus tetzlaffi,,,,ZMB 62598,M,21.2,11,8.1,,2.6,1.9,3.1,1,,Gunther 2003,,,,,,,,,,,,
Cophixalus tetzlaffi,Cophixalus tetzlaffi,,,,ZMB 62599,M,20,10.1,8,,2.4,1.8,2.7,1.1,,Gunther 2003,,,,,,,,,,,,
